job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_raw,salary_min_lpa,salary_max_lpa,salary_disclosed,skills_required,skills_count,job_description,posted_date_raw,work_mode,company_size_bucket,job_url,data_source,scraped_at,salary_tier,experience_tier,is_senior,primary_city,skill_domain,salary_midpoint_lpa,days_since_posted,is_fresher_friendly,salary_negotiable
10,Machine Learning Data Scientist,Hsbc,3.8,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0,Not Disclosed,0.0,0.0,False,"python, data analysis, data domain, vertex, data processing, google, anomaly detection, machine learning",8,"Strong communication and collaboration skills, with the ability to work effectively in ...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
20,Data Scientist-Artificial Intelligence,IBM,3.9,Bangalore Rural,Bangalore,Data Scientist,7-9 Yrs,7.0,9.0,Not Disclosed,0.0,0.0,False,"kubernetes, scikit-learn, foundation, artificial intelligence, jquery, sql, react.js, tensorflow",8,Your primary responsibilities will include: Design AI Solutions: Architect and deliver ...,1 day ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-bangalore-rural-7-to-9-years-090626023322,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,0.0,1.0,False,False
30,Data Scientist,Ltimindtree,3.6,Hybrid - Bengaluru,Bangalore,Data Scientist,6-11 Yrs,6.0,11.0,16-31 Lacs PA,16.0,31.0,True,"Agentic Ai, MS Copilot, Generative Ai, Machine Learning, Python, Artificial Intelligence, copilot studios, Power Platform",8,"Preferred Experience. MS Copilot, power platform and copilot studio. 5- 12 yrsExposure ...",1 day ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-ltimindtree-bengaluru-6-to-11-years-090626033639,naukri.com,2025-06-10,Senior (10-20 LPA),Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,23.5,1.0,False,False
40,Data Scientist,Voya India,3.6,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0,10-23 Lacs PA,10.0,23.0,True,"Predictive Modeling, Machine Learning, Python, SQL, Natural Language Processing, Modeling, Languages, Predictive",8,o Selecting and applying data science / machine learning / artificial intelligence algo...,1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-voya-india-bengaluru-3-to-6-years-090626014824,naukri.com,2025-06-10,Senior (10-20 LPA),Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,16.5,1.0,False,False
50,Snowflake AI/ML Engineer / Data Scientist,sharpheads,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,False,"Snowflake, Cortex, Machine Learning, Python, SQL, Data, Artificial Intelligence, Ml",8,Immediate Joiners Preferred !! . Key Skills Required: . - Strong experience in Snowfla...,4 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-snowflake-ai-ml-engineer-data-scientist-sharpheads-technologies-hyderabad-pune-bengaluru-4-to-9-years-050626013411,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Hyderabad,AI/ML/DL,0.0,4.0,False,False
60,Data Scientist,Novulis,3.7,Hybrid - Bengaluru,Bangalore,Data Scientist,10-20 Yrs,10.0,20.0,Not Disclosed,0.0,0.0,False,"Time Series Analysis, Machine Learning, Python, Retail, Lstm, Arima, Time Series, Demand Forecasting",8,Job Description: We are seeking a highly skilled Data Scientist to join an innovative t...,5 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-novulis-bengaluru-10-to-20-years-040626012066,naukri.com,2025-06-10,Undisclosed,Lead/Architect (9+ Yrs),False,Bangalore,AI/ML/DL,0.0,5.0,False,False
70,Data Scientist,Capgemini,3.6,"Hybrid - Hyderabad, Chennai, Bengaluru",Bangalore,Data Scientist,6-9 Yrs,6.0,9.0,5.5-14 Lacs PA,5.5,14.0,True,"Python, Etl Pipelines, Matplotlib, Prompt Engineering, Pandas, data scientist, Retrieval Augmented Generation, Machine Learning",8,"Analyze large, complex datasets to extract actionable insightsBuild, evaluate, and opti...",2 weeks ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-capgemini-hyderabad-chennai-bengaluru-6-to-9-years-260526014011,naukri.com,2025-06-10,Junior (3-6 LPA),Senior (6-8 Yrs),False,Hyderabad,AI/ML/DL,9.75,14.0,False,False
80,Hiring Data scientist,Ascendion Engineering,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,3-7 Yrs,3.0,7.0,2-7 Lacs PA,2.0,7.0,True,"Data Science, Vertex, Python, Gcp Bigquery, Science, GCP, Bigquery, Data",8,"Experience in building deep learning models, and Object-Oriented Programming skills, pr...",6 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-hiring-data-scientist-ascendion-engineering-hyderabad-pune-bengaluru-3-to-7-years-030626026567,naukri.com,2025-06-10,Entry (<3 LPA),Mid (3-5 Yrs),False,Hyderabad,AI/ML/DL,4.5,6.0,False,False
90,Director - Data Scientist,Makemytrip,3.4,Bengaluru,Bangalore,Data Scientist,14-18 Yrs,14.0,18.0,Not Disclosed,0.0,0.0,False,"python, modeling, natural language processing, production, mathematics, machine learning, artificial intelligence, reinforcement learning",8,Job Title: Director Data Scientist Location: Bengaluru Experience: 14+ Years ...,2 weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-director-data-scientist-makemytrip-india-pvt-ltd-bengaluru-14-to-18-years-260526500549,naukri.com,2025-06-10,Undisclosed,Lead/Architect (9+ Yrs),True,Bangalore,AI/ML/DL,0.0,14.0,False,False
100,Data Scientist GenAI,Affine Analytics,3.3,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,15-25 Lacs PA,15.0,25.0,True,"Agentic Ai, RAG, Retrieval Augmented Generation, Machine Learning, Python, Generation, Machine, Data",8,The candidate should be able to work under tight timelines with minimal supervision. Su...,1 week ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-genai-affine-analytics-hyderabad-bengaluru-delhi-ncr-5-to-10-years-010626028731,naukri.com,2025-06-10,Senior (10-20 LPA),Mid (3-5 Yrs),False,Hyderabad,AI/ML/DL,20.0,7.0,False,False
